'Rule ID', 'Is it implemented?', 'Is it implemented? (smelly)', 'Lines of implementation in source code'
'1', 'Yes', 'Yes', '32'
'2', 'Yes', 'Yes', '23'
'3', 'Yes', 'Yes', '44-45'
'4', 'Yes', 'Yes', '53'
'5', 'Yes', 'Yes', '62'
'6', 'Yes', 'Yes', '66'
'7', 'Yes', 'Yes', '6, 49'
'8', 'Yes', 'Yes', '110-120, 103, 7'
'9', 'Yes', 'Yes', '54'
'10', 'Yes', 'Yes', '68, 85'
'11', 'Yes', 'No', '88-90, 40'
'12', 'Yes', 'Yes', '63-65'
'13', 'Yes', 'Yes', '71-73, 52'
'14', '', 'No', ''
'15', 'Yes', 'No', '93-97, 61'
'16', 'Yes', 'Yes', '74-76'
'17', 'Yes', 'Yes', '45'
'18', 'Yes', 'Yes', '34-39'
'19', 'No', 'No', ''
'20', 'No', 'No', ''
'21', 'No', 'No', ''
